season,zone,LST_C
Winter,Rural,32.97200000000002
Winter,Rural,32.727500000000035
Winter,Rural,32.34350000000003
Winter,Rural,31.996000000000038
Winter,Rural,31.56700000000003
Winter,Rural,31.469000000000033
Winter,Rural,30.962000000000035
Winter,Rural,30.261000000000024
Winter,Rural,30.34700000000003
Winter,Rural,31.452000000000034
Winter,Rural,29.425000000000033
Winter,Rural,32.58150000000003
Winter,Rural,33.15250000000003
Winter,Rural,33.49700000000003
Winter,Rural,33.695500000000024
Winter,Rural,33.401500000000034
Winter,Rural,33.17850000000004
Winter,Rural,32.37700000000004
Winter,Rural,31.419000000000022
Winter,Rural,31.753000000000036
Winter,Rural,32.69050000000003
Winter,Rural,32.92300000000003
Winter,Rural,32.98550000000002
Winter,Rural,31.94550000000003
Winter,Rural,33.136000000000024
Winter,Rural,33.37300000000003
Winter,Rural,33.22250000000004
Winter,Rural,33.18850000000002
Winter,Rural,33.49700000000002
Winter,Rural,32.873500000000035
Winter,Rural,32.62100000000002
Winter,Rural,33.182500000000026
Winter,Rural,33.123500000000035
Winter,Rural,30.344000000000023
Winter,Rural,32.23550000000002
Winter,Rural,32.98700000000002
Winter,Rural,33.31700000000002
Winter,Rural,33.91550000000002
Winter,Rural,33.82200000000004
Winter,Rural,32.50950000000002
Winter,Rural,30.706500000000034
Winter,Rural,32.01750000000003
Winter,Rural,33.264000000000024
Winter,Rural,34.232500000000016
Winter,Rural,34.90550000000003
Winter,Rural,34.927000000000035
Winter,Rural,34.62400000000003
Winter,Rural,32.697000000000045
Winter,Rural,30.986500000000024
Winter,Rural,32.40650000000003
Winter,Rural,34.53200000000004
Winter,Rural,34.53150000000004
Winter,Rural,34.22650000000003
Winter,Rural,33.59600000000003
Winter,Rural,32.976500000000016
Winter,Rural,32.81000000000004
Winter,Rural,29.913500000000035
Winter,Rural,33.08350000000003
Winter,Rural,33.21550000000002
Winter,Rural,33.224000000000025
Winter,Rural,30.03100000000004
Winter,Rural,33.42950000000003
Winter,Rural,33.38800000000003
Winter,Rural,34.12800000000003
Winter,Rural,34.90700000000003
Winter,Rural,31.128500000000024
Winter,Rural,34.09550000000003
Winter,Rural,34.39050000000002
Winter,Rural,35.49050000000003
Winter,Rural,35.282000000000025
Winter,Rural,31.64200000000003
Winter,Rural,31.243000000000034
Winter,Rural,31.60250000000003
Winter,Rural,33.99150000000002
Winter,Rural,34.22000000000003
Winter,Rural,34.63600000000004
Winter,Rural,35.40650000000002
Winter,Rural,31.838500000000028
Winter,Rural,31.759000000000036
Winter,Rural,32.54050000000004
Winter,Rural,33.98250000000002
Winter,Rural,34.00550000000002
Winter,Rural,34.41250000000004
Winter,Rural,35.30400000000003
Winter,Rural,32.61800000000003
Winter,Rural,32.155500000000025
Winter,Rural,32.658000000000015
Winter,Rural,33.39900000000002
Winter,Rural,33.08500000000002
Winter,Rural,33.97600000000004
Winter,Rural,33.88750000000003
Winter,Rural,33.60300000000002
Winter,Rural,33.88350000000004
Winter,Rural,32.80800000000003
Winter,Rural,32.88000000000002
Winter,Rural,33.72500000000004
Winter,Rural,33.78650000000003
Winter,Rural,33.51700000000004
Winter,Rural,32.79700000000003
Winter,Rural,31.758500000000026
Winter,Rural,32.64400000000002
Winter,Rural,33.72650000000002
Winter,Rural,33.32200000000002
Winter,Rural,32.89750000000002
Winter,Rural,33.062000000000026
Winter,Rural,32.552000000000035
Winter,Rural,33.56350000000002
Winter,Rural,34.47450000000001
Winter,Rural,33.66600000000004
Winter,Rural,34.092500000000015
Winter,Rural,33.600500000000025
Winter,Rural,32.69250000000003
Winter,Rural,32.31650000000003
Winter,Rural,33.13200000000002
Winter,Rural,33.600500000000025
Winter,Rural,33.40650000000004
