mode,zone,T
Day,Urban,39.132233420000034
Day,Urban,37.365117080000005
Day,Urban,37.67957492000005
Day,Urban,37.75477136000001
Day,Urban,33.171206540000014
Day,Urban,34.890470600000015
Day,Urban,35.00668328000006
Day,Urban,35.24252666000001
Day,Urban,35.09555180000001
Day,Urban,34.189776499999994
Day,Urban,35.40317360000006
Day,Urban,36.89343031999999
Day,Urban,37.39929728000004
Day,Urban,37.607796500000006
Day,Urban,35.07504368000002
Day,Urban,40.64983430000001
Day,Urban,41.58295376000001
Day,Urban,39.74747702000002
Day,Urban,38.53749793999998
Day,Urban,39.737222960000054
Day,Urban,40.04142674000002
Day,Urban,40.755792919999976
Day,Urban,39.40567501999999
Day,Urban,34.91439674000003
Day,Urban,38.27089238000002
Day,Urban,38.76308726000002
Day,Urban,39.12539737999998
Day,Urban,38.80068548000003
Day,Urban,38.27089238000002
Day,Urban,38.151261680000005
Day,Urban,37.53260006000005
Day,Urban,33.22931288000001
Day,Urban,33.85822856000004
Day,Urban,34.51107037999998
Day,Urban,36.12095780000004
Day,Urban,35.38608350000004
Day,Urban,34.545250580000015
Day,Urban,34.40511176000001
Day,Urban,35.187838339999985
Day,Urban,37.183962020000024
Day,Urban,35.88169640000001
Day,Urban,33.54377072
Day,Urban,38.46913754000002
Day,Urban,38.94082430000003
Day,Urban,36.82848794000006
Day,Urban,39.12539737999998
Day,Urban,40.834407380000016
Day,Urban,40.328540420000024
Day,Urban,37.98719672000004
Day,Urban,39.55264987999999
Day,Urban,39.74405899999999
Day,Urban,40.082442979999996
Day,Urban,39.200593819999995
Day,Urban,36.80114378000002
Day,Urban,37.744517299999984
Day,Urban,35.01010130000003
Day,Urban,35.905622540000024
Day,Urban,36.47984989999998
Day,Urban,36.53453822000006
Day,Urban,40.492605379999986
Day,Urban,40.15422139999998
Day,Urban,40.00382852000001
Day,Urban,39.607338200000015
Day,Urban,39.25870015999999
Day,Urban,38.178605840000046
Day,Urban,35.133150020000016
Day,Urban,34.92806882000002
Day,Urban,36.60289862000002
Day,Urban,34.203448579999986
Day,Urban,33.83430242000003
Day,Urban,32.96270732000005
Day,Urban,34.09065392000002
Day,Urban,35.45786192000003
Day,Urban,36.04576136000003
Day,Urban,35.50571420000006
Day,Urban,34.57943078000005
Day,Urban,35.133150020000016
Day,Urban,35.218600519999995
Day,Urban,37.720591160000026
Day,Urban,39.15615955999999
Day,Urban,39.28604432000003
Day,Urban,41.24115175999998
Day,Urban,40.718194700000026
Day,Urban,41.12835710000002
Day,Urban,40.246507940000015
Day,Urban,36.493521980000025
Day,Urban,36.77379961999998
Day,Urban,38.752833200000055
Day,Urban,40.06193486000001
Day,Urban,38.68105478000001
Day,Urban,38.56826011999999
Day,Urban,39.54923186000002
Day,Urban,39.29971640000002
Day,Urban,38.24013020000001
Day,Urban,35.98081897999998
Day,Urban,35.20834646000003
Day,Urban,33.38995982000006
Day,Urban,32.94561722000003
Day,Urban,33.40363190000005
Day,Urban,34.839200300000016
Day,Urban,36.09019562000003
Day,Urban,35.57407460000002
Day,Urban,34.336751359999994
Day,Urban,34.28889908000002
Day,Urban,35.55356648000003
Day,Urban,39.64493642000002
Day,Urban,39.330478579999976
Day,Urban,37.149781820000044
Day,Urban,40.85833352000003
Day,Urban,41.14202918000001
Day,Urban,35.51938628000005
Day,Urban,37.65223076000001
Day,Urban,35.25278072000003
Day,Urban,39.409093040000016
Day,Urban,38.46913754000002
Day,Urban,38.79726746000006
Day,Urban,39.44327324000005
Day,Urban,39.66202652000004
Day,Urban,37.426641440000026
Day,Urban,36.54821030000005
Day,Urban,36.06285146000005
Day,Urban,34.740077720000045
Day,Urban,33.50617250000005
Day,Urban,33.23956694000003
Day,Urban,33.612131120000015
Day,Urban,34.99984724000001
Day,Urban,35.75181164000003
Day,Urban,35.150240120000035
Day,Urban,34.23079274000003
Day,Urban,34.66829930000006
Day,Urban,36.674677040000006
Day,Urban,38.97158648000004
Day,Urban,37.15661785999998
Day,Urban,40.595145979999984
Day,Urban,40.74553886000001
Day,Urban,38.44862942000003
Day,Urban,37.06091330000004
Day,Urban,36.83532398
Day,Urban,37.87782007999999
Day,Urban,39.463781359999984
Day,Urban,38.56826011999999
Day,Urban,35.102387840000006
Day,Urban,34.43587394000002
Day,Urban,37.033569140000054
Day,Urban,34.94515892000004
Day,Urban,35.39291953999998
Day,Urban,36.20982632000005
Day,Urban,34.661463260000005
Day,Urban,35.07504368000002
Day,Urban,34.907560699999976
Day,Urban,35.444189840000035
Day,Urban,35.84068016000003
Day,Urban,36.54821030000005
Day,Urban,35.72104946000002
Day,Urban,37.00280696000004
Day,Urban,36.25426058000005
Day,Urban,34.25471888000004
Day,Urban,36.640496840000026
Day,Urban,35.909040559999994
Day,Urban,37.61463254
